molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CCl2O,carbonyl chloride,75-44-5,145.37,245.37,-115.605533249872,2.10394793330485,-0.0032836219579,0.0
CFN,cyanogen fluoride,1495-50-7,191.15,291.15,-118.06681536408,1.51032964722265,-0.00206244660278937,0.0
CF2O,carbonyl fluoride,353-50-4,159.15,259.15,-142.904928428187,2.25096524136344,-0.00336819578237833,0.0
CHN,hydrogen cyanide,74-90-8,259.86,359.86,-181.383533488325,1.6500721554124,-0.00189724526906637,0.0
CH3BO,borane carbonyl,13205-44-2,136.15,236.15,-100.887758981628,1.89713959137973,-0.00304859326913022,0.0
CH3ClHg,methylmercury chloride,115-09-3,250.0,350.0,-208.087897921676,2.04742619456607,-0.0024087366994895,0.0
CH3Cl3Si,"silane, methyltrichloro",75-79-6,150.0,1500.0,-4.50922798063451,0.342166224744146,-3.50430439171832e-05,-3.86982019421823e-09
CH4Cl2Si,"silane, methyldichloro",75-54-7,150.0,1500.0,-11.999966783282,0.387824805750718,-9.29023590959807e-05,1.8568603726215402e-08
CH4N2,ammonium cyanide,12211-52-8,309.15,409.15,-182.551835946605,1.37505578796758,-0.00142007207267126,0.0
CH4N2O,urea,57-13-6,405.85,505.85,-323.111826189541,1.7986704985861,-0.00154830894257218,0.0
CH4N2S,thiourea,62-56-6,200.0,1500.0,-8.09470160404081,0.197708565727365,6.6352289556662496e-06,-2.32824964339127e-09
CH6Ge,"germane, methyl",1449-65-6,115.15,215.15,-90.5249806469791,2.17965621445187,-0.003756085153286,0.0
CH6Sn,methylstannane,1631-78-3,150.0,250.0,-170.537239108881,2.95616656448586,-0.004547948560747479,0.0
CNNa,sodium cyanide,143-33-9,1719.15,1819.15,-1150.38249999019,1.38737486145499,-0.000366226239066333,0.0
CN4O8,tetranitromethane,509-14-8,200.0,1500.0,-15.0347777610635,0.35412559887213,-7.856705245295129e-05,1.36984577634699e-08
CNb,niobium carbide,12069-94-2,4523.15,4623.15,-3052.0004885507,1.36908613862626,-0.000145704813450641,0.0
CO,carbon monoxide,630-08-0,68.0,1500.0,18.0493038262975,0.637530082149211,-0.000357478100248322,1.0286702086409801e-07
COS,carbonyl sulfide,463-58-1,250.0,1500.0,-18.0012632789666,0.529685299792882,-0.00019661249533773001,4.31339904738827e-08
CO2,carbon dioxide,124-38-9,195.0,1500.0,11.8109,0.49838,-0.00010851,0.0
CSSe,"selenosulfide, carbon",5951-19-9,197.95,297.95,-160.335744036962,2.04058906569963,-0.00273574080399467,0.0
CS2,carbon disulfide,75-15-0,273.0,1500.0,-5.0475779239475,0.345476539856698,2.45815887518618e-05,-3.89389320497365e-08
CSe2,"diselenide, carbon",506-80-9,229.45,329.45,-218.554387163735,2.35770675047978,-0.0029147073191739103,0.0
C2H5Cl3Si,"silane, ethyltrichloro",115-21-9,150.0,1500.0,1.1777102882197,0.279939304537236,-1.17692040113889e-05,2.53588911042389e-09
C2H6AlCl,"aluminum, dimethyl chloride",1184-58-3,150.0,1500.0,-8.7329896587573,0.274195718376396,-4.12836295008744e-05,7.64589495918033e-09
C2H6Cl2Si,"silane, dimethyldichloro",75-78-5,150.0,1500.0,-10.3440079850012,0.338078555161285,-7.162373344651579e-05,1.41614668081904e-08
C2N2,cyanogen,460-19-5,245.32,345.32,-212.971836079724,2.07446368387013,-0.00246771945645,0.0
C2U,uranium carbide,12071-33-9,4593.15,4693.15,-5029.97301295212,2.22148361684629,-0.000232950265495663,0.0
C3CoNO4,cobalt nitrosyl tricarbonyl,14096-82-3,262.15,362.15,-436.888522442535,3.94459597662948,-0.0045117190628268,0.0
C3H9ClSi,chlorotrimethylsilane,75-77-4,150.0,1500.0,-11.0207181494348,0.319357839668669,-7.50498991328578e-05,1.4319131479456201e-08
C3H10Si,"silane, trimethyl",993-07-7,137.26,1500.0,-4.20881178563472,0.293154487684698,-5.633831330587221e-05,4.4554130057630394e-09
C3O2,carbon suboxide,504-64-3,161.85,261.85,-131.927858103907,2.07080844936583,-0.00307378425020905,0.0
C4NiO4,nickel carbonyl,13463-39-3,253.85,353.85,-569.175877806366,5.30991594446733,-0.00619087786459989,0.0
C5FeO5,iron pentacarbonyl,13463-40-6,253.15,353.15,-511.428786471473,4.83349472370251,-0.0056446277282523796,0.0
C6H15Al,"aluminum, triethyl",97-93-8,150.0,1500.0,-4.28246350691143,0.331949038984181,-2.19850513203011e-05,4.536404285417e-09
C6H18OSi2,"disiloxane, hexamethyl",107-46-0,150.0,1500.0,-8.85993418993621,0.27125159747254,-5.97421721533876e-05,1.1594165999813899e-08
C6H19NSi2,"disilazane, hexamethyl",999-97-3,200.0,1500.0,-11.8466486344058,0.268085964755606,-5.94254640640859e-05,9.940095544734509e-09
C6MoO6,molybdenum hexacarbonyl,13939-06-5,924.15,1024.15,-3243.1777656219,7.48961970917195,-0.00340700528097709,0.0
C7H8Cl2Si,"silane, methylphenyldichloro",149-74-6,150.0,1500.0,-4.16508387068624,0.255053022723781,-2.01867650787347e-05,4.10335319489685e-09
C8H20Pb,tetraethyl lead,'78-00-2',139.41,1500.0,2.60340754060675,0.247525558323104,-1.6699014931207997e-05,3.62782645060739e-09
C8H20Si,"silane, tetraethyl",631-36-7,150.0,1500.0,-3.51814367815881,0.219517952282873,-3.86188096845258e-05,8.27841521466854e-09
Ca,calcium,7440-70-2,1707.0,1807.0,-1287.08868012146,1.56481195386881,-0.000415731124832309,0.0
CaF2,calcium fluoride,7789-75-5,2756.5,2856.5,-2138.03807426188,1.58757522320575,-0.000270778649702498,0.0
CdCl2,cadmium chloride,10108-64-2,1183.15,1283.15,-1643.10693023482,2.92141538069283,-0.00107551278602984,0.0
CdF2,cadmium fluoride,7790-79-6,1971.15,2071.15,-2254.97739734392,2.36170275094709,-0.000550218472834395,0.0
CdI2,cadmium iodide,7790-80-9,965.15,1065.15,-1867.07916858681,4.11095542222941,-0.00180281341149385,0.0
CdO,cadmium oxide,1306-19-0,1782.15,1882.15,-1923.77664846566,2.23543481232865,-0.000571094400615345,0.0
ClCs,cesium chloride,7647-17-8,1520.15,1620.15,-1933.34463327395,2.64820871033823,-0.000781113385345907,0.0
ClCu,cuprous chloride,7758-89-6,1713.15,1813.15,-1772.60922526369,2.1474036415279,-0.0005686528193014059,0.0
ClF,chlorine monofluoride,7790-89-8,117.55,217.55,-68.0069025072232,1.50590579874661,-0.00257375798794498,0.0
ClFO3,perchloryl fluoride,7616-94-6,125.41,1500.0,-20.9021951704944,0.614605056232795,-0.00018107717432029198,3.2853876604163095e-08
ClF2P,phosphorus (III) chloride difluoride,14335-40-1,200.0,300.0,-283.852529818347,3.45788498797682,-0.0046105133173024206,0.0
ClF2PS,phosphorus (V) sulfide chloride difluoride,'2524-02-9',118.15,218.15,-116.735748680814,2.80512636713011,-0.0047844556833193,0.0
ClF3,chlorine trifluoride,7790-91-2,196.81,296.81,-228.957069565019,2.83653343712184,-0.00381449320502655,0.0
ClF3Ge,"germane, chlorotrifluoro",14188-40-0,206.95,306.95,-383.919165440243,4.49544766613036,-0.0058848640740023,0.0
ClF3Si,"silane, chlorotrifluoro",14049-36-6,135.15,235.15,-208.312412465159,3.93605792292429,-0.00634541016109025,0.0
ClF5,chlorine pentafluoride,13637-63-3,170.15,270.15,-195.949862277874,2.88006422526872,-0.00417219212700089,0.0
ClF5S,sulfur chloride pentafluoride,13780-57-9,209.15,309.15,-401.972530044696,4.65191127208032,-0.00605481097498415,0.0
ClK,potassium chloride,7447-40-7,1639.0,1739.0,-1352.79573230561,1.71772589521374,-0.000473463587434878,0.0
ClLi,lithium chloride,7447-41-8,1606.15,1706.15,-1017.14969073316,1.31603808812329,-0.00036943494038213796,0.0
ClNO,nitrosyl chloride,2696-92-6,150.0,1500.0,-11.4115939149763,0.481798136475389,-0.000101778106136934,9.54234846788107e-09
ClNO2,nitryl chloride,13444-90-1,128.15,228.15,-90.7393781701695,1.89232618750443,-0.00312110537276008,0.0
ClNa,sodium chloride,7647-14-5,1688.2,1788.2,-834.734391770097,1.02716138212846,-0.00027564442414353303,0.0
ClO2,chlorine dioxide,10049-04-4,213.55,313.55,-147.223594334174,1.66802793934504,-0.0021464778527152803,0.0
ClRb,rubidium chloride,'7791-11-9',1613.15,1713.15,-1733.94683096207,2.23338213228061,-0.0006244951856054059,0.0
Cl2,chlorine,7782-50-5,150.0,1500.0,-11.1328914733781,0.527496091932131,-0.000147821352639327,3.21230169065202e-08
Cl2Co,cobalt chloride,7646-79-9,1272.15,1372.15,-1473.92461256086,2.42954345383666,-0.000839423506145408,0.0
Cl2CrO2,chromium oxychloride,14977-61-8,176.65,276.65,-153.577399717574,2.31637605534112,-0.0032935817650236398,0.0
Cl2Cu,cupric chloride,7447-39-4,1216.15,1316.15,-1468.120402286,2.53633835000861,-0.000911597724906949,0.0
Cl2FP,phosphorus (III) dichloride fluoride,15597-63-4,200.0,300.0,-250.723342419023,3.06624887417384,-0.00408833183223179,0.0
Cl2F2Ge,"germane, dichlorodifluoro",24422-21-7,221.35,321.35,-466.980838858218,5.07224517500063,-0.00639869455657958,0.0
Cl2F2Si,"silane, dichlorodifluoro",18356-71-3,229.15,329.15,-471.326067257085,4.96308720796256,-0.00614015490283628,0.0
Cl2F3P,phosphorus (V) dichloride trifluoride,13454-99-4,148.15,248.15,-190.151297779298,3.37786383865635,-0.00522646424053281,0.0
Cl2Fe,ferrous chloride,7758-94-3,1247.0,1347.0,-2435.11430645314,4.09862776190219,-0.00144114900207531,0.0
Cl2Hg,mercuric chloride,7487-94-7,527.15,627.15,-1052.8621376729,4.4146056621417,-0.0031436343104334604,0.0
Cl2Hg2,mercury (I) chloride,10112-91-1,606.15,706.15,-878.715458148428,3.17093173103597,-0.0020296561038443102,0.0
Cl2Mg,magnesium chloride,7786-30-3,1635.15,1735.15,-1538.7400797256,1.95437739349059,-0.000539838519871444,0.0
Cl2Mn,manganese (II) chloride,'7773-01-5',1413.15,1513.15,-1579.94806501424,2.33444381258726,-0.00073495696646641,0.0
