molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
BrGeH3,"germane, bromo",13569-43-2,298.15,303.15,79.98,0.0,0.0,0.0
ClGeH3,"germane, chloro",13637-65-5,298.15,303.15,85.7,0.0,0.0,0.0
GeH3I,"germane, iodo",13573-02-9,298.15,303.15,79.98,0.0,0.0,0.0
GeH4,germane,7782-65-2,107.26,292.6,74.535,-0.19734,0.00027866,1.8467e-06
GeI4,germanium (IV) iodide,13450-95-8,550.0,2000.0,155.0,0.0,0.0,0.0
GeO2,germanium (IV) oxide,1310-53-8,1388.0,3900.0,78.5,0.0,0.0,0.0
GeS,germanium (II) sulfide,12025-32-0,931.0,1700.0,67.0,0.0,0.0,0.0
GeS2,germanium (IV) sulfide,12025-34-2,1113.0,2200.0,100.0,0.0,0.0,0.0
Ge2H6,digermane,13818-89-8,164.15,466.46,134.135,-0.069779,-0.00044032,1.6999e-06
Ge3H8,trigermane,14691-44-2,167.55,585.55,168.171,0.10374,-0.00082277,1.5394e-06
BF4H,tetrafluoroboric acid,16872-11-0,298.15,303.15,113.27,0.0,0.0,0.0
BrH,hydrogen bromide,10035-10-6,186.34,344.99,-99.048,2.0735,-0.0089095,1.2673e-05
CHN,hydrogen cyanide,74-90-8,259.83,433.82,252.213,-1.4144,0.0030625,-1.1827e-06
ClH,hydrogen chloride,7647-01-23 00:00:00,165.0,308.42,73.993,-0.12946,-7.898e-05,2.6409e-06
ClHO3S,chlorosulfonic acid,7790-94-5,193.15,665.0,140.318,0.016349,-0.00035109,7.0485e-07
ClHO4,perchloric acid,7601-90-3,171.95,599.45,97.789,0.092028,-0.00028693,7.5547e-07
FH,hydrogen fluoride,7664-39-3,189.79,438.09,24.415,0.20382,-0.00094339,1.8975e-06
HI,hydrogen iodide,10034-85-2,222.38,402.66,136.724,-0.72705,0.0019425,-1.0279e-06
HNO3,nitric acid,7697-37-2,238.57,494.0,214.478,-0.76762,0.001497,-3.0208e-07
HN3,hydrazoic acid,7782-79-8,298.15,303.15,99.77,0.0,0.0,0.0
F2HO2P,difluorophosphoric acid,13779-41-4,298.15,303.15,106.33,0.0,0.0,0.0
H2,hydrogen,1333-74-0,14.26,28.0,22.399861734838,-1.960166234006,0.11413771176551,-0.0012375333597941
H2O,water,7732-18-5,273.15,585.0,-22.417016771359,0.87697215552021,-0.0025703928729356,2.4838332579613e-06
H2O2,hydrogen peroxide,7722-84-1,272.74,600.0,36.3,0.047,0.0,0.0
H2S,hydrogen sulfide,7783-06-04 00:00:00,212.8,340.0,-258.16502986318,3.946980310154,-0.016501769919193,2.3647575999123e-05
H2O4S,sulfuric acid,7664-93-9,298.0,878.75,26.004,0.70337,-0.0013856,1.0342e-06
H2S2,hydrogen disulfide,13465-07-1,183.45,515.27,125.844,-0.064965,-0.00032435,1.1672e-06
H2Se,hydrogen selenide,7783-07-05 00:00:00,209.15,328.88,336.56,-3.0726,0.011266,-1.2985e-05
H2Te,hydrogen telluride,7783-09-07 00:00:00,224.15,416.14,203.374,-1.101,0.002751,-1.4212e-06
H3NO,hydroxylamine,7803-49-8,306.25,545.3,488.2,-2.1067,0.0038692,-1.5822e-06
H3O2P,hypophosphorous acid,6303-21-5,298.15,303.15,85.79,0.0,0.0,0.0
H3O4P,phosphoric acid,7664-38-2,400.0,680.0,55.228,0.30125,0.0,0.0
He,helium-3,14762-55-1,1.1,3.14,13.021,-19.604,13.057,-2.1265
He,helium-4,7440-59-7,2.5,4.5,29.27675,-16.53625,3.481,-0.038999999999997
Hf,hafnium,7440-58-6,2500.0,4963.79,37.656,0.0,0.0,0.0
HfO2,hafnium oxide,12055-23-1,3173.0,3500.0,108.784,0.0,0.0,0.0
Hg,mercury,7439-97-6,234.29,800.0,31.540338734986,-0.017695068669908,2.1264184619467e-05,-6.6708044391889e-09
Br2Hg,mercuric bromide,7789-47-1,514.0,1500.0,102.09,0.0,0.0,0.0
Cl2Hg,mercuric chloride,7487-94-7,550.0,1500.0,102.09,0.0,0.0,0.0
F2Hg,mercury (II) fluoride,7783-39-3,918.0,2000.0,102.09,0.0,0.0,0.0
HgI2,mercuric iodide,7774-29-0,532.15,1500.0,102.09,0.0,0.0,0.0
