molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
C12H26,"3,5-dimethyl-4-isopropylheptane",62198-89-4,150.0,1500.0,155.52431201807,-0.34476933633997,0.0044900614500501,-8.4752116917479e-06,7.5970295485206e-09,-3.3815147841495e-12,5.994525016468e-16
C12H26,"2-methyl-3,3-diethylheptane",62198-90-7,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"2-methyl-3,4-diethylheptane",62198-91-8,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"2-methyl-3,5-diethylheptane",62198-92-9,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"2-methyl-4,4-diethylheptane",62198-93-0,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"2-methyl-4,5-diethylheptane",62198-94-1,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"2-methyl-5,5-diethylheptane",62198-95-2,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"3-methyl-3,4-diethylheptane",62198-96-3,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"3-methyl-3,5-diethylheptane",62198-97-4,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"3-methyl-4,4-diethylheptane",62198-98-5,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"3-methyl-4,5-diethylheptane",62198-99-6,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"3-methyl-5,5-diethylheptane",62199-00-2,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"4-methyl-3,3-diethylheptane",62199-01-3,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"4-methyl-3,4-diethylheptane",62199-02-4,150.0,1500.0,174.17188741484,-0.59442801182108,0.0056335917329632,-1.0788563749933e-05,9.9091241059611e-09,-4.5052876029632e-12,8.118166383741e-16
C12H26,"4-methyl-3,5-diethylheptane",62199-03-5,150.0,1500.0,153.89301389601,-0.32364955480293,0.0044128982056305,-8.3652355628064e-06,7.5280513290104e-09,-3.3649598080879e-12,5.9903637715644e-16
C12H26,"2,2,3-trimethyl-3-ethylheptane",62199-04-6,150.0,1500.0,196.08205888845,-0.88632624815913,0.006931448494527,-1.3321868044386e-05,1.2359175079407e-08,-5.6621703619766e-12,1.0250130216927e-15
C12H26,"2,2,3-trimethyl-4-ethylheptane",62199-05-7,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,3-trimethyl-5-ethylheptane",62199-06-8,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,4-trimethyl-3-ethylheptane",62199-07-9,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,4-trimethyl-4-ethylheptane",62199-08-0,150.0,1500.0,196.08205888845,-0.88632624815913,0.006931448494527,-1.3321868044386e-05,1.2359175079407e-08,-5.6621703619766e-12,1.0250130216927e-15
C12H26,"2,2,4-trimethyl-5-ethylheptane",62199-09-1,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,5-trimethyl-3-ethylheptane",62199-10-4,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,5-trimethyl-4-ethylheptane",62199-11-5,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,5-trimethyl-5-ethylheptane",62199-12-6,150.0,1500.0,196.08205888845,-0.88632624815913,0.006931448494527,-1.3321868044386e-05,1.2359175079407e-08,-5.6621703619766e-12,1.0250130216927e-15
C12H26,"2,2,6-trimethyl-3-ethylheptane",62199-13-7,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,6-trimethyl-4-ethylheptane",62199-14-8,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,2,6-trimethyl-5-ethylheptane",62199-15-9,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
C12H26,"2,3,3-trimethyl-4-ethylheptane",62199-16-0,150.0,1500.0,175.80318545373,-0.61554779225739,0.0057107549723311,-1.089853986817e-05,9.9781023140848e-09,-4.5218425731307e-12,8.1223276168408e-16
