molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
C7H14,"cis-1,3-dimethylcyclopentane",2532-58-3,139.45,457.46,127.48256901005,0.3963046294923,-0.0011427179700233,1.9421334827696e-06,0.0
C7H14,"trans-1,3-dimethylcyclopentane",1759-58-6,139.18,458.94,129.30993432202,0.38297760806803,-0.0011017616046684,1.8699919674578e-06,0.0
C7H14,methylcyclohexane,108-87-2,159.87,393.88,159.28413635491,-0.17606441375314,-0.00072707515273466,9.6429961045609e-06,-1.4153877829467e-08
C7H14,cycloheptane,291-64-5,275.15,498.12,104.89178761743,0.46756004705534,-0.0012035426694235,1.6339762892445e-06,0.0
C7H14,1-heptene,592-76-7,154.64,383.84,-29.908319907823,3.7591134076151,-0.025195586618914,7.40335097914e-05,-7.576578370398e-08
C7H14,2-heptene,592-77-8,148.16,454.51,125.69181893797,0.54674946801789,-0.0017060914729101,2.7068511414113e-06,0.0
C7H14,cis-2-heptene,6443-92-1,164.0,460.28,120.86149865035,0.53345318254841,-0.0016040604231873,2.5177107424331e-06,0.0
C7H14,trans-2-heptene,14686-13-6,163.67,457.05,129.47852001154,0.56043753811587,-0.0017011323067139,2.6568018054809e-06,0.0
C7H14,3-heptene,592-78-9,148.16,453.31,125.27340771998,0.52972613831673,-0.0016458522128995,2.6293475529313e-06,0.0
C7H14,3-heptene (mixed isomers),25339-56-4,148.16,450.65,124.2249979874,0.49442917258013,-0.001521122337704,2.4677535891907e-06,0.0
C7H14,cis-3-heptene,7642-10-06 00:00:00,136.51,456.95,128.46516926792,0.45835453844589,-0.0014049858664042,2.31172780935e-06,0.0
C7H14,trans-3-heptene,14686-14-7,136.52,454.41,134.77003972225,0.49509416635054,-0.0015308560725914,2.5073747959525e-06,0.0
C7H14,2-methyl-1-hexene,6094-02-06 00:00:00,170.28,451.5,126.95070532188,0.57492241667898,-0.0017428678302107,2.7229631970754e-06,0.0
C7H14,3-methyl-1-hexene,3404-61-3,145.0,442.53,132.28577094433,0.50441205293948,-0.0015736113066669,2.5815727345746e-06,0.0
C7H14,4-methyl-1-hexene,3769-23-1,131.7,446.94,135.20376338764,0.45818530359653,-0.0014188175749943,2.3851609967651e-06,0.0
C7H14,5-methyl-1-hexene,3524-73-0,151.39,444.56,131.16990828396,0.5285292060113,-0.0016363389599464,2.6553616446651e-06,0.0
